word;text;DE_DeepL;DE_gender
flight attendant;What you should never do on a plane: Flight attendant reveals airline secrets.;Was man in einem Flugzeug niemals tun sollte: Flugbegleiter verrät Geheimnisse der Fluggesellschaft.;male
musician;"In an Instagram video posted last month, the ""All Too Well"" musician can be seen collaborating with producer Jack Antonoff on the piano.";"In einem Instagram-Video, das letzten Monat gepostet wurde, ist die ""All Too Well""-Musikerin bei der Zusammenarbeit mit dem Produzenten Jack Antonoff am Klavier zu sehen.";female
opponent;On Thursday evening, finally, she stepped out onto the court against a top 10 opponent for just the second time of her life.;Am Donnerstagabend betrat sie schließlich zum zweiten Mal in ihrem Leben den Platz gegen eine Top-10-Gegnerin.;female
socialite;The socialite who got a countess to write a 50-page manual on such things as how full a box of tissues had to be before it was thrown away - half - never noticed the fresh child factory production line of underage girls coming and going.;Die Dame der Gesellschaft, die eine Gräfin dazu brachte, ein 50-seitiges Handbuch darüber zu schreiben, wie voll eine Schachtel Taschentücher sein musste, bevor sie weggeworfen wurde - die Hälfte -, bemerkte nie das Fließband der Kinderfabrik, auf dem minderjährige Mädchen ein- und ausgehen.;female
therapist;Kensington massage therapist jailed for sexually assaulting clients.;Massagetherapeutin aus Kensington wegen sexueller Belästigung von Kunden inhaftiert.;female
coordinator;One day, she visited a friend who worked as an assistant production coordinator on a set, and she was intrigued by the location department.;Eines Tages besuchte sie eine Freundin, die als Assistentin der Produktionskoordinatorin an einem Set arbeitete, und war von der Drehortabteilung fasziniert.;female
lover;SINGER Matt Goss smooches with his new lover after a dinner date.;Sänger Matt Goss knutscht mit seiner neuen Geliebten nach einem Abendessen.;female
mechanic;It's important if we want to see a future in which a boy could become a midwife or a girl could become a mechanic.;Das ist wichtig, wenn wir eine Zukunft sehen wollen, in der ein Junge Hebamme oder ein Mädchen Mechanikerin werden kann.;female
dancer;But I do pop back as a feature dancer now and then as my fans miss me and I get paid to just hang out in clubs.;Aber ich tauche ab und zu als Feature-Tänzerin auf, weil meine Fans mich vermissen und ich dafür bezahlt werde, in Clubs herumzuhängen.;female
therapist;"There are 52 weeks in a year, my therapist continued matter-of-factly, ""I know you can't go on a date every single week, but how many do you think you should be going on?""";"Das Jahr hat 52 Wochen, fuhr mein Therapeut sachlich fort: ""Ich weiß, dass Sie nicht jede Woche zu einem Date gehen können, aber wie viele sollten es denn sein?""";male
visitor;A health visitor also contacted RBH to raise the issue in July 2020 and an inspection that month found mould in the kitchen, bathroom and a bedroom cupboard needed treatment.;Im Juli 2020 wandte sich auch ein Gesundheitsberater an das RBH, um das Problem anzusprechen, und bei einer Inspektion im selben Monat wurde festgestellt, dass Schimmel in der Küche, im Badezimmer und in einem Schlafzimmerschrank behandelt werden musste.;female
colleague;"Like me, Imogen gets her ""dream job"" and thinks her life is finally starting - but her confidence and happiness is constantly threatened and undermined by a toxic colleague.";"Wie ich bekommt Imogen ihren ""Traumjob"" und glaubt, dass ihr Leben endlich beginnt - aber ihr Selbstvertrauen und ihr Glück werden ständig von einem giftigen Kollegen bedroht und untergraben.";male
companion;In 2018, the billionaire said he couldn't be happy if he wasn't in love with a long-term companion.;Im Jahr 2018 sagte der Milliardär, er könne nicht glücklich sein, wenn er nicht in eine langfristige Partnerin verliebt sei.;female
author;I have a little anecdote regarding [a popular but vaguely dissident Chinese author].;Ich habe eine kleine Anekdote über [einen populären, aber vage regimekritischen chinesischen Autor].;male
clerk;A hotel clerk was caught on video calling a black customer a monkey.;Ein Hotelangestellter wurde dabei gefilmt, wie er einen schwarzen Kunden einen Affen nannte.;male
student;WASHINGTON — New charges have been filed against a Washington, D.C, barbershop owner accused of posing as a Howard University student and sexually assaulting incapacitated teenagers.;WASHINGTON - Gegen den Besitzer eines Friseursalons in Washington, D.C., wurden neue Anklagen erhoben, weil er sich als Student der Howard University ausgegeben und sexuelle Übergriffe auf entmündigte Teenager begangen haben soll.;male
accountant;And I think the topic would need the eye of a forensic accountant.;Und ich denke, das Thema sollte von einem Wirtschaftsprüfer geprüft werden.;male
designer;If you get a low score, work with your Web developer or designer to improve it.;Wenn Sie eine niedrige Punktzahl erhalten, arbeiten Sie mit Ihrem Webentwickler oder Designer zusammen, um sie zu verbessern.;male
baker;The former baker, from Alsager, Cheshire, recalls: “I felt utterly humiliated.;"Der ehemalige Bäcker aus Alsager, Cheshire, erinnert sich: ""Ich fühlte mich völlig gedemütigt.";male
lover;Casual sends a check-in to your friend or lover to see how they’re doing or what they’re up to.;Casual sendet eine Nachricht an Ihren Freund oder Liebhaber, um zu sehen, wie es ihm geht oder was er vorhat.;male
writer;For someone who is normally a business writer, that is very valuable.;Für jemanden, der normalerweise ein Wirtschaftsjournalist ist, ist das sehr wertvoll.;male
winner;And it is far from a sure political winner in the upcoming election.;Und sie ist alles andere als ein sicherer politischer Gewinner bei den kommenden Wahlen.;male
consumer;It will also give the scotch maker a way to engage more deeply with a consumer who might otherwise just toss that bottle away and never be heard from again.;Außerdem kann der Scotch-Hersteller auf diese Weise intensiver mit einem Verbraucher in Kontakt treten, der die Flasche sonst vielleicht einfach wegwerfen würde und nie wieder etwas von sich hören ließe.;male
poet;Who’s the worst poet in Miami?;Wer ist der schlechteste Dichter in Miami?;male
author;The author, 75, suffered severe, life-changing injuries after being stabbed several times ahead of a lecture at the Chautauqua Institution in New York.;Der 75-jährige Autor erlitt schwere, lebensverändernde Verletzungen, nachdem er vor einem Vortrag in der Chautauqua Institution in New York mehrfach niedergestochen worden war.;male
writer;Promising comparable results to actually washing your hair with a rinse-out shampoo, we are pleased to report that this is as close to the real thing as you're going to get, noted our writer.;Wir versprechen vergleichbare Ergebnisse wie beim Waschen der Haare mit einem Shampoo zum Ausspülen und freuen uns, berichten zu können, dass dieses Produkt der Realität so nahe kommt, wie es nur möglich ist, so unser Autor.;male
designer;The bridge's designer had recommended regular upkeep to remove rust, especially due to the corrosive effect of moist air from the nearby Ligurian Sea, and maintenance to counter the effect of pollution on concrete.;Der Konstrukteur der Brücke hatte eine regelmäßige Wartung empfohlen, um Rost zu entfernen, insbesondere aufgrund der korrosiven Wirkung der feuchten Luft vom nahe gelegenen Ligurischen Meer, und um die Auswirkungen der Verschmutzung auf den Beton zu bekämpfen.;male
bookkeeper;From bookkeeper to ski instructor.;Vom Buchhalter zum Skilehrer.;male
clerk;The Newark, New Jersey, native was born in 1954 and adopted at age six months out of an orphanage by a township clerk and an auto parts owner.;Der in Newark, New Jersey, geborene Junge wurde 1954 geboren und im Alter von sechs Monaten von einem Gemeindeschreiber und einem Autoteilebesitzer aus einem Waisenhaus adoptiert.;male
author;The 69-year-old native of Lyon, France, is the author of several works, mainly about patristics and Christology.;Der 69-jährige gebürtige Franzose aus Lyon ist Autor mehrerer Werke, vor allem zur Patristik und Christologie.;male
counselor;Only then did I realize the counselor was actually calling me fat - and making fun of me.;Erst dann wurde mir klar, dass der Berater mich tatsächlich fett nannte - und sich über mich lustig machte.;male
dancer;I'm not a dancer.;Ich bin kein Tänzer.;male
friend;"After a friend suggested she try it, Ann said, ""Sure!""";"Als eine Freundin ihr vorschlug, es auszuprobieren, sagte Ann: ""Klar!""";female
guard;The reserve guard stepped up in the absence of fellow rookie guard Jordan Nixon, who injured her hamstring during warmups.;Die Reservespielerin sprang für die Abwesenheit ihrer Kollegin Jordan Nixon ein, die sich beim Aufwärmen an der Kniesehne verletzt hatte.;female
officer;I am also the the chief executive officer of Global Women Network, a United Kingdom-based Non-governmental Organisation with roots in Nigeria.;Außerdem bin ich Geschäftsführerin von Global Women Network, einer Nichtregierungsorganisation mit Sitz im Vereinigten Königreich und Wurzeln in Nigeria.;female
winner;THE 2022 series of The Voice is coming to an end and a new star will be crowned the winner.;"Die Staffel 2022 von ""The Voice"" geht zu Ende und ein neuer Star wird zum Sieger gekürt.";male
user;"Another user commented, ""You guys are the best social media account in the country.""";"Ein anderer Nutzer kommentierte: ""Ihr seid der beste Social-Media-Account des Landes"".";male
supporter;"In other lyrics, the vocal Donald Trump supporter says: ""Inflation's up like the minimum wage. So it's all the same. Not a damn thing changed.""";"In einem anderen Text sagt der lautstarke Donald-Trump-Anhänger: ""Die Inflation ist gestiegen wie der Mindestlohn. Es ist also alles gleich geblieben. Es hat sich nichts geändert.""";male
judge;It's a hard fall from grace for someone who worked hard as a lawyer and became a judge and is now a convicted felon, Oreskovich said.;Für jemanden, der als Anwalt hart gearbeitet hat, Richter wurde und nun ein verurteilter Verbrecher ist, ist das ein schwerer Sturz in Ungnade, sagte Oreskovich.;male
fighter;It's not the end of the world just yet - I like to think of myself as a fighter and I will keep fighting right until my last run.;Es ist noch nicht das Ende der Welt - ich sehe mich selbst gerne als Kämpfer und werde bis zu meinem letzten Lauf weiterkämpfen.;male
dealer;The trade is likely to involve a Russian arms dealer imprisoned in the US and a North American basketball player, recently detained in Russia.;An dem Handel sind wahrscheinlich ein in den USA inhaftierter russischer Waffenhändler und ein nordamerikanischer Basketballspieler beteiligt, der kürzlich in Russland festgenommen wurde.;male
soldier;The soldier cries continuously.;Der Soldat weint ununterbrochen.;male
officer;After shooting the two officers, he tried to leave the apartment and was shot by the third officer.;Nachdem er auf die beiden Beamten geschossen hatte, versuchte er, die Wohnung zu verlassen und wurde von dem dritten Beamten erschossen.;male
player;The German boss is reportedly convinced that the teenager can become a hugely important player in the near future.;Der deutsche Trainer ist angeblich davon überzeugt, dass der Teenager in naher Zukunft ein sehr wichtiger Spieler werden kann.;male
manager;That's drilled into us by the manager, that we don't ever give up on the win.;Der Manager hat uns eingebläut, dass wir den Sieg nie aufgeben dürfen.;male
contractor;When a contractor lies to a customer, we use the civil system to remedy the situation.;Wenn ein Auftragnehmer einen Kunden belügt, nutzen wir das Zivilrecht, um die Situation zu bereinigen.;male
captain;Secrecy, sex and sun: captain reveals life aboard superyachts;Geheimhaltung, Sex und Sonne: Kapitän enthüllt Leben an Bord von Superyachten;male
farmer;In the video that has now amassed over 4.4million views, the farmer goes on to explain that cows eat a substance every day called TMR, short for totally mixed ration.;In dem Video, das inzwischen mehr als 4,4 Millionen Aufrufe hat, erklärt der Landwirt, dass Kühe jeden Tag eine Substanz namens TMR, kurz für Total Mixed Ration, fressen.;male
maestro;"As my colleague Mark Landler put it: ""In Switzerland, the Lucerne music festival canceled two symphony concerts featuring a Russian maestro.";"Wie mein Kollege Mark Landler es ausdrückte: ""In der Schweiz hat das Luzerner Musikfestival zwei Sinfoniekonzerte mit einem russischen Maestro abgesagt.";male
construction worker;As any construction worker will tell you, digging is hard work and tea breaks are key.;Jeder Bauarbeiter wird Ihnen sagen, dass Graben harte Arbeit ist und Teepausen wichtig sind.;male
boss;The irony of this metaphor being solemnly valorised by the boss of a powerful tech corporation seems to be lost on the industry.;Die Ironie, dass diese Metapher vom Chef eines mächtigen Technologieunternehmens feierlich gepriesen wird, scheint der Branche entgangen zu sein.;male
driver;Police are appealing for help to locate a ute driver who they believe picked up Everleigh and helped her to leave the area.;Die Polizei bittet um Mithilfe bei der Suche nach dem Fahrer eines Kleintransporters, der Everleigh abgeholt und ihr geholfen haben soll, das Gebiet zu verlassen.;male
idiot;But there aren't any checks to prevent an unqualified idiot from buying a bin and installing it.;Aber es gibt keine Kontrollen, die verhindern, dass ein unqualifizierter Idiot einen Mülleimer kauft und ihn einbaut.;male
cook;I always call myself a cook.;Ich nenne mich immer Koch.;male
filmmaker;It appears the filmmaker is going to be making a much more elegiac and sobering gangster movie this time around.;Es sieht so aus, als würde der Filmemacher dieses Mal einen viel elegischeren und ernüchternderen Gangsterfilm drehen.;male
admirer;At that point, you'll attract an admirer who is worthy of your affection.;Dann werden Sie einen Verehrer anziehen, der Ihrer Zuneigung würdig ist.;male
follower;"I cant even deal with this, one follower wrote alongside two fire emojis, while another wrote: ""Love the hair x.""";"Ich kann nicht einmal damit umgehen, schrieb ein Follower neben zwei Feuer-Emojis, während ein anderer schrieb: ""Liebe die Haare x"".";male
salesperson;The wine salesperson on the floor might actually have tasted the wines and be able to point out intelligently which ones are fit for tonight’s dinner and which ones should be socked away.;Der Weinverkäufer auf der Etage hat die Weine vielleicht sogar verkostet und ist in der Lage, intelligent darauf hinzuweisen, welche Weine für das Abendessen heute Abend geeignet sind und welche man lieber aufheben sollte.;male
buddy;"In the video, one of the Marines looked down at the bodies and quipped, ""Have a good day, buddy.""";"In dem Video blickt einer der Marinesoldaten auf die Leichen hinunter und sagt: ""Schönen Tag noch, Kumpel"".";male
winner;There will be a roughly 90-minute inspection after the race and the winner will not be deemed official until the process is completed.;Nach dem Rennen findet eine etwa 90-minütige Inspektion statt, und der Sieger wird erst nach Abschluss dieses Prozesses als offiziell anerkannt.;male
